Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
20208,20255.99,658.43,1371.77,1443.1
20256,20303.99,657.43,1370.77,1442.1
20304,20351.99,656.43,1369.77,1441.1
20352,20399.99,655.43,1368.77,1440.1
20400,20447.99,654.43,1367.77,1439.1
20448,20495.99,653.43,1366.77,1438.1
20496,20543.99,652.43,1365.77,1437.1
20544,20591.99,651.43,1364.77,1436.1
20592,20639.99,650.43,1363.77,1435.1
20640,20687.99,649.43,1362.77,1434.1
20688,20735.99,648.43,1361.77,1433.1
20736,20783.99,647.43,1360.77,1432.1
20784,20831.99,646.43,1359.77,1431.1
20832,20879.99,645.43,1358.77,1430.1
20880,20927.99,644.43,1357.77,1429.1
20928,20975.99,643.43,1356.77,1428.1
20976,21023.99,642.43,1355.77,1427.1
21024,21071.99,641.43,1354.77,1426.1
21072,21119.99,640.43,1353.77,1425.1
21120,21167.99,639.43,1352.77,1424.1
21168,21215.99,638.43,1351.77,1423.1
21216,21263.99,637.43,1350.77,1422.1
21264,21311.99,636.43,1349.77,1421.1
21312,21359.99,635.43,1348.77,1420.1
21360,21407.99,634.43,1347.77,1419.1
21408,21455.99,633.43,1346.77,1418.1
21456,21503.99,632.43,1345.77,1417.1
21504,21551.99,631.43,1344.77,1416.1
21552,21599.99,630.43,1343.77,1415.1
21600,21647.99,629.43,1342.77,1414.1
21648,21695.99,628.43,1341.77,1413.1
21696,21743.99,627.43,1340.77,1412.1
21744,21791.99,626.43,1339.77,1411.1
21792,21839.99,625.43,1338.77,1410.1
21840,21887.99,624.43,1337.77,1409.1
21888,21935.99,623.43,1336.77,1408.1
21936,21983.99,622.43,1335.77,1407.1
21984,22031.99,621.43,1334.77,1406.1
22032,22079.99,620.43,1333.77,1405.1
22080,22127.99,619.43,1332.77,1404.1
22128,22175.99,618.43,1331.77,1403.1
22176,22223.99,617.43,1330.77,1402.1
22224,22271.99,616.43,1329.77,1401.1
22272,22319.99,615.43,1328.77,1400.1
22320,22367.99,614.43,1327.77,1399.1
22368,22415.99,613.43,1326.77,1398.1
22416,22463.99,612.43,1325.77,1397.1
22464,22511.99,611.43,1324.77,1396.1
22512,22559.99,610.43,1323.77,1395.1
22560,22607.99,609.43,1322.77,1394.1
22608,22655.99,608.43,1321.77,1393.1
22656,22703.99,607.43,1320.77,1392.1
22704,22751.99,606.43,1319.77,1391.1
22752,22799.99,605.43,1318.77,1390.1
22800,22847.99,604.43,1317.77,1389.1
22848,22895.99,603.43,1316.77,1388.1
22896,22943.99,602.43,1315.77,1387.1
22944,22991.99,601.43,1314.77,1386.1
22992,23039.99,600.43,1313.77,1385.1
23040,23087.99,599.43,1312.77,1384.1
23088,23135.99,598.43,1311.77,1383.1
23136,23183.99,597.43,1310.77,1382.1
23184,23231.99,596.43,1309.77,1381.1
23232,23279.99,595.43,1308.77,1380.1
23280,23327.99,594.43,1307.77,1379.1
23328,23375.99,593.43,1306.77,1378.1
23376,23423.99,592.43,1305.77,1377.1
23424,23471.99,591.43,1304.77,1376.1
23472,23519.99,590.43,1303.77,1375.1
23520,23567.99,589.43,1302.77,1374.1
23568,23615.99,588.43,1301.77,1373.1
23616,23663.99,587.43,1300.77,1372.1
23664,23711.99,586.43,1299.77,1371.1
23712,23759.99,585.43,1298.77,1370.1
23760,23807.99,584.43,1297.77,1369.1
23808,23855.99,583.43,1296.77,1368.1
23856,23903.99,582.43,1295.77,1367.1
23904,23951.99,581.43,1294.77,1366.1
23952,23999.99,580.43,1293.77,1365.1
24000,24047.99,579.43,1292.77,1364.1
24048,24095.99,578.43,1291.77,1363.1
24096,24143.99,577.43,1290.77,1362.1
24144,24191.99,576.43,1289.77,1361.1
24192,24239.99,575.43,1288.77,1360.1
24240,24287.99,574.43,1287.77,1359.1
24288,24335.99,573.43,1286.77,1358.1
24336,24383.99,572.43,1285.77,1357.1
24384,24431.99,571.43,1284.77,1356.1
24432,24479.99,570.43,1283.77,1355.1
24480,24527.99,569.43,1282.77,1354.1
24528,24575.99,568.43,1281.77,1353.1
24576,24623.99,567.43,1280.77,1352.1
24624,24671.99,566.43,1279.77,1351.1
24672,24719.99,565.43,1278.77,1350.1
24720,24767.99,564.43,1277.77,1349.1
24768,24815.99,563.43,1276.77,1348.1
24816,24863.99,562.43,1275.77,1347.1
24864,24911.99,561.43,1274.77,1346.1
24912,24959.99,560.43,1273.77,1345.1
24960,25007.99,559.43,1272.77,1344.1
25008,25055.99,558.43,1271.77,1343.1
25056,25103.99,557.43,1270.77,1342.1
25104,25151.99,556.43,1269.77,1341.1
25152,25199.99,555.43,1268.77,1340.1
25200,25247.99,554.43,1267.77,1339.1
25248,25295.99,553.43,1266.77,1338.1
25296,25343.99,552.43,1265.77,1337.1
25344,25391.99,551.43,1264.77,1336.1
25392,25439.99,550.43,1263.77,1335.1
25440,25487.99,549.43,1262.77,1334.1
25488,25535.99,548.43,1261.77,1333.1
25536,25583.99,547.43,1260.77,1332.1
25584,25631.99,546.43,1259.77,1331.1
25632,25679.99,545.43,1258.77,1330.1
25680,25727.99,544.43,1257.77,1329.1
25728,25775.99,543.43,1256.77,1328.1
25776,25823.99,542.43,1255.77,1327.1
25824,25871.99,541.43,1254.77,1326.1
25872,25919.99,540.43,1253.77,1325.1
25920,25967.99,539.43,1252.77,1324.1
25968,26015.99,538.43,1251.77,1323.1
26016,26063.99,537.43,1250.77,1322.1
26064,26111.99,536.43,1249.77,1321.1
26112,26159.99,535.43,1248.77,1320.1
26160,26207.99,534.43,1247.77,1319.1
26208,26255.99,533.43,1246.77,1318.1
26256,26303.99,532.43,1245.77,1317.1
26304,26351.99,531.43,1244.77,1316.1
26352,26399.99,530.43,1243.77,1315.1
26400,26447.99,529.43,1242.77,1314.1
